0.72,-0.24,-0.66 
0.74,-0.20,-0.63 
0.73,-0.29,-0.64 
0.75,-0.23,-0.61 
0.80,-0.29,-0.70 
0.79,-0.16,-0.71 
0.96,-0.21,-0.69 
0.82,-0.10,-0.55 
0.89,-0.17,-0.64 
0.89,-0.19,-0.33 
0.90,-0.20,-0.49 
0.91,-0.23,-0.51 
0.85,-0.20,-0.52 
0.87,-0.20,-0.53 
0.86,-0.25,-0.59 
0.85,-0.25,-0.61 
0.91,-0.25,-0.61
0.87,-0.18,-0.62
0.86,-0.14,-0.56
0.87,-0.12,-0.54
0.83,-0.07,-0.45
0.85,-0.08,-0.45
0.84,-0.04,-0.42
0.88,-0.08,-0.44
0.90,-0.09,-0.45
0.91,-0.19,-0.51
0.86,-0.30,-0.58
0.88,-0.33,-0.64
0.92,-0.25,-0.66
0.95,-0.14,-0.62
0.87,-0.07,-0.53
0.89,-0.08,-0.52
0.95,-0.09,-0.54
0.99,-0.09,-0.58
